Front;Back
"[K2 – Fehler] Typischer Fehler: \\(\langle\varepsilon_{kin}\rangle=\tfrac32k_BT\\) wird verwechselt mit...";"...der GESAMTEN inneren Energie pro Teilchen – gilt aber nur für \\(f=3\\) (einatomige Gase)! Allgemein: \\(U/N=\tfrac f2k_BT\\)."
"[K2 – Fehler] Welcher Freiheitsgrad wird bei zweiatomigen Molekülen oft fälschlich mitgezählt?";"Rotation um die Molekülachse selbst – deren Trägheitsmoment ist vernachlässigbar, zählt NICHT als FG."
"[K2 – Intuition] Warum ist die mittlere Geschwindigkeit LEICHTERER Gasteilchen bei gleicher Temperatur GRÖSSER?";"Bei gleicher Temperatur ist \\(\langle\varepsilon_{kin}\rangle\\) für alle Teilchen gleich; da \\(\varepsilon_{kin}=\tfrac12mv^2\\), muss bei kleinerem \\(m\\) \\(v\\) größer sein."
"[K2 – Anwendung] Wie berechnet man \\(\Delta U\\) für ein ideales Gas bei Temperaturänderung?";"\\(\Delta U = n f \tfrac12 R\Delta T\\), unabhängig vom Prozess (da \\(U=U(T)\\) für ideale Gase)."
"[K2 – Transfer] Wo taucht das Konzept 'freie Teilchen wie ein Gas' später in der Vorlesung wieder auf?";"Bei Ladungsträgern in Metallen (Bändermodell, Kapitel 10) – freie Elektronen werden mikroskopisch ähnlich wie ein Gas behandelt."
"[K2 – Gegenbeispiel] Wann versagt die klassische Gleichverteilung für Rotations-/Vibrations-FG?";"Bei sehr tiefen Temperaturen – diese FG werden quantenmechanisch 'eingefroren' (thermische Energie reicht nicht für den ersten angeregten Zustand)."
"[K3] 1. Fick'sches Gesetz?";"\\(\vec j=-D\nabla n\\), \\(D\\): Diffusionskoeffizient"
"[K3] 2. Fick'sches Gesetz?";"\\(\dfrac{\partial n}{\partial t}=D\Delta n\\)"
"[K3] Fourier'sches Gesetz (Wärmeleitung)?";"\\(\vec j_E=-\lambda\nabla T\\), \\(\lambda\\): Wärmeleitfähigkeit"
"[K3] Wiedemann-Franz-Gesetz?";"\\(\dfrac{\lambda}{\sigma}=aT\\) mit Lorenz-Zahl \\(a\approx2{,}45\cdot10^{-8}\,\text{W}\Omega/\text{K}^2\\)"
"[K3 – Beweis] Kernidee der Herleitung des 2. Fick'schen Gesetzes?";"Kombination von Kontinuitätsgleichung \\(\operatorname{div}\vec j=-\partial_tn\\) mit 1. Fick'schem Gesetz \\(\vec j=-D\nabla n\\) durch direkte Substitution."
"[K3 – Verständnis] Warum sind Diffusionsgleichung und Wärmeleitungsgleichung mathematisch identisch?";"Beide folgen aus derselben Struktur (Kontinuitätsgleichung + linearer Fluss-Gradient-Ansatz), nur mit unterschiedlicher physikalischer Interpretation der Größe (Teilchendichte vs. Temperatur)."
"[K3 – Vergleich] Gemeinsame Struktur von Diffusion, Wärmeleitung und Viskosität?";"Alle folgen dem Muster: Fluss \\(=-K\cdot\nabla(\text{intensive Größe})\\) – nur unterschiedliches \\(K\\) (D, λ, η) und transportierte Größe."
"[K3 – Fehler] Typischer Fehler bei Transportgesetzen?";"Vorzeichen des Gradienten vergessen – Fluss ist IMMER entgegen dem Gradienten gerichtet (von hoch nach tief)."
"[K3 – Anwendung] Wie berechnet man den stationären Wärmestrom durch eine Wand?";"\\(j_E=\lambda\dfrac{\Delta T}{d}\\) (lineare Näherung im stationären Fall)"
"[K3 – Transfer] Welches Gesetz aus einem SPÄTEREN Kapitel hat exakt dieselbe mathematische Struktur wie Fick/Fourier?";"Das Ohm'sche Gesetz \\(\vec j=\sigma\vec E=-\sigma\nabla\phi\\) (Kapitel 9)."
"[K3] Formel für den osmotischen Druck (van't-Hoff'sches Gesetz)?";"\\(\pi_{osm}=\dfrac{n}{V}RT\\)"
"[K3 – Gegenbeispiel] Warum lässt sich Konvektion NICHT durch ein einfaches lineares Fluss-Gradient-Gesetz beschreiben?";"Sie ist makroskopischer Massentransport durch Auftrieb, keine einfache Proportionalität zu einem Gradienten."
"[K4] 1. Hauptsatz der Thermodynamik (Formel)?";"\\(dU=\delta Q-p\,dV\\)"
"[K4] Definition der Volumenarbeit?";"\\(\delta W_{vom\ Gas}=p\,dV\\)"
"[K4] Definition der Wärmekapazität?";"\\(C:=\dfrac1n\dfrac{\delta Q}{dT}\\), Einheit \\(\text{J}/(\text{mol K})\\)"
"[K4] Definition der Enthalpie?";"\\(H:=U+pV\\)"
"[K4] Definition des Adiabatenexponenten?";"\\(\kappa:=C_p/C_V\\)"
"[K4 – Verständnis] Warum ist \\(U\\) eine Zustandsgröße, \\(Q\\) und \\(W\\) aber nicht?";"\\(U\\) hängt nur vom momentanen Zustand ab; \\(Q,W\\) hängen vom konkreten Weg/Prozess ab, wie man den Zustand erreicht hat."
"[K4 – Intuition] Bankkonto-Analogie zum 1. Hauptsatz?";"\\(U\\) ist der Kontostand, \\(Q\\) und \\(W\\) sind zwei unterschiedliche 'Einzahlungswege' – das Konto selbst kennt den Weg nicht, nur die Summe zählt."
"[K4] Robert-Mayer-Beziehung?";"\\(C_p-C_V=R\\) (für ideales Gas)"
"[K4 – Beweis] Kernidee des Beweises von \\(C_p-C_V=R\\)?";"Bei konstantem \\(V\\): \\(C_V=\tfrac1n\tfrac{dU}{dT}\\). Bei konstantem \\(p\\): \\(C_p=\tfrac1n\tfrac{dH}{dT}\\), mit \\(H=U+nRT\\) folgt \\(dH=dU+nR\,dT\\), also \\(C_p=C_V+R\\)."
"[K4] Adiabatengleichungen (alle drei Formen)?";"\\(TV^{\kappa-1}=\text{const}\\), \\(pV^\kappa=\text{const}\\), \\(T^\kappa/p^{\kappa-1}=\text{const}\\)"
"[K4 – Beweis] Kernidee der Herleitung der Adiabatengleichung?";"1. HS mit \\(\delta Q=0\\): \\(nC_V\,dT=-p\,dV\\), einsetzen von \\(p=nRT/V\\), Trennung der Variablen, Integration, Nutzen von \\(R/C_V=\kappa-1\\)."
"[K4 – Voraussetzungen] Wann gelten die Adiabatengleichungen?";"ideales Gas, \\(\delta Q=0\\), quasistatisch, \\(C_V\\) im betrachteten Bereich temperaturunabhängig"
"[K4] Formeln für \\(Q,W,\Delta U\\) bei ISOCHORER Zustandsänderung?";"\\(W=0\\), \\(\Delta U=Q=nC_V\Delta T\\)"
"[K4] Formeln für \\(Q,W,\Delta U\\) bei ISOBARER Zustandsänderung?";"\\(W=p\Delta V=nR\Delta T\\), \\(Q=nC_p\Delta T\\), \\(\Delta U=nC_V\Delta T\\)"
"[K4] Formeln für \\(Q,W,\Delta U\\) bei ISOTHERMER Zustandsänderung?";"\\(\Delta U=0\\), \\(W=Q=nRT\ln(V_2/V_1)\\)"
"[K4] Formeln für \\(Q,W,\Delta U\\) bei ADIABATISCHER Zustandsänderung?";"\\(Q=0\\), \\(W=-\Delta U=-nC_V\Delta T\\)"
"[K4 – Fehler] Typischer Fehler: \\(\Delta U=nC_V\Delta T\\) wird nur für welchen Prozess 'erlaubt' gehalten – zu Unrecht?";"Nur für isochore Prozesse – FALSCH! Gilt für JEDEN Prozess eines idealen Gases, da \\(U=U(T)\\) allein."
"[K4 – Algorithmus] Erster Schritt bei JEDER Zustandsänderungs-Aufgabe eines idealen Gases?";"\\(\Delta U=nC_V\Delta T\\) berechnen – gilt immer, unabhängig vom Prozesstyp."
"[K4 – Vergleich] Unterschied zwischen \\(C_V\\) und \\(C_p\\) – warum ist \\(C_p>C_V\\)?";"Bei konstantem Druck muss zusätzlich zur Temperaturerhöhung Ausdehnungsarbeit gegen den Außendruck verrichtet werden – kostet zusätzliche Wärme."
"[K4 – Gegenbeispiel] Wann gilt \\(\Delta U=nC_V\Delta T\\) NICHT?";"Bei realen Gasen (dort hängt \\(U\\) zusätzlich von \\(V\\) ab wegen zwischenmolekularer Wechselwirkung)."
"[K4 – Transfer] Welches spätere Konzept ist ebenfalls eine 'Zustandsgröße', analog zu \\(U\\)?";"Das elektrische Potential \\(\phi\\) (Kapitel 6) – wegunabhängig, im Gegensatz zur Arbeit im Allgemeinen."
"[K5] Definition des Wirkungsgrads einer Wärmekraftmaschine?";"\\(\eta:=|W|/Q_{zu}\\)"
"[K5] Carnot-Wirkungsgrad (Formel)?";"\\(\eta_{Carnot}=1-\dfrac{T_2}{T_1}=\dfrac{T_1-T_2}{T_1}\\)"
"[K5 – Voraussetzungen] Wann gilt der Carnot-Wirkungsgrad?";"reversibler Kreisprozess, ideales Gas, zwei Wärmereservoire konstanter Temperatur"
"[K5 – Beweis] Kernidee des Beweises des Carnot-Wirkungsgrads?";"Vier Teilschritte (iso-adiabat-iso-adiabat) einzeln berechnen, Adiabatengleichungen liefern \\(V_2/V_1=V_3/V_4\\), damit \\(\eta=(Q_1-|Q_2|)/Q_1=1-T_2/T_1\\)."
"[K5] Aussage des Carnot'schen Satzes?";"Keine Wärmekraftmaschine zwischen \\(T_1\\) und \\(T_2\\) kann einen höheren Wirkungsgrad als \\(\eta_{Carnot}\\) erreichen."
"[K5 – Beweis] Kernidee des Beweises des Carnot'schen Satzes?";"Widerspruchsbeweis: Eine hypothetische 'Super-Carnot'-Maschine (\\(\eta'>\eta_{Carnot}\\)) könnte, mit einer rückwärts laufenden Carnot-Maschine gekoppelt, Wärme ohne Arbeitszufuhr von kalt nach warm transportieren – Widerspruch zum 2. HS (Clausius)."
"[K5] Definition der Entropie (thermodynamisch)?";"\\(dS:=\delta Q_{rev}/T\\)"
"[K5] Definition der Entropie (statistisch, Boltzmann)?";"\\(S:=k_B\ln W\\), \\(W\\)=Anzahl Mikrozustände"
"[K5] Aussage des 2. Hauptsatzes für abgeschlossene Systeme?";"\\(\Delta S\geq0\\); Gleichheit nur bei reversiblen Prozessen"
"[K5 – Beweis] Kernidee, warum \\(\Delta S_{ges}>0\\) beim Mischen zweier unterschiedlich warmer Körper?";"\\(\Delta S_1<0\\) (kälterer Körper erwärmt), \\(\Delta S_2>0\\) (wärmerer kühlt ab), Summe \\(\Delta S_{ges}=mc\ln(T_m^2/(T_1T_2))>0\\) folgt aus AM-GM-Ungleichung."
"[K5] Formel für Entropieänderung \\(\Delta S(T,V)\\) eines idealen Gases?";"\\(\Delta S=nC_V\ln(T_2/T_1)+nR\ln(V_2/V_1)\\)"
"[K5] Aussage des 3. Hauptsatzes (Nernst'sches Theorem)?";"\\(\lim_{T\to0}S(T)=0\\)"
"[K5 – Vergleich] Unterschied Wirkungsgrad \\(\eta\\) und Leistungszahl \\(\varepsilon\\)?";"\\(\eta\\): für Wärmekraftmaschinen, \\(\eta=|W|/Q_{zu}\\).<br>\\(\varepsilon\\): für Kältemaschine/Wärmepumpe, \\(\varepsilon=Q/W\\) (Nutzwärme/-kälte pro Arbeit)."
"[K5] Leistungszahl einer Carnot-Wärmepumpe?";"\\(\varepsilon_{WP}=\dfrac{T_1}{T_1-T_2}\\)"
"[K5 – Fehler] Typischer Fehler bei Wirkungsgradberechnungen mit Temperaturen?";"Verwendung von \\(°\text{C}\\) statt Kelvin – führt zu falschen (oft negativen) Ergebnissen."
"[K5 – Fehler] Typischer Fehler: \\(\Delta S<0\\) für ein Teilsystem wird als...";"...Verletzung des 2. Hauptsatzes interpretiert – FALSCH, nur die GESAMTENTROPIE muss zunehmen."
"[K5 – Intuition] Bücherstapel-Analogie zur Entropie?";"Ein umfallender Bücherstapel verteilt sich chaotisch (viele Möglichkeiten = hohe Entropie); der umgekehrte Prozess widerspricht nicht der Energieerhaltung, ist aber statistisch extrem unwahrscheinlich (wenige geordnete Möglichkeiten)."
"[K5 – Anwendung] Wie erkennt man in einer Klausuraufgabe, dass Carnot-Formel direkt (ohne Einzelschritte) anwendbar ist?";"Wenn explizit 'reversibel' bzw. 'idealer Kreisprozess' zwischen zwei konstanten Temperaturen angegeben ist."
"[K5 – Transfer] Wo taucht 'S=k ln W' (Boltzmann-Entropie) in der Vorlesung konzeptionell nochmal auf?";"Verbindet zurück zu Kapitel 2 (kinetische Gastheorie): makroskopische Größe = statistischer Mittelwert/Zählung über viele Mikrozustände."
"[K5] Kreisprozessschritte des Otto-Motors (Reihenfolge)?";"adiabatisch – isochor – adiabatisch – isochor"
"[K5] Kreisprozessschritte des Stirling-Motors (Reihenfolge)?";"isotherm – isochor – isotherm – isochor"
"[K5 – Gegenbeispiel] Warum ist ein Kreisprozess mit \\(\eta>\eta_{Carnot}\\) unmöglich?";"Widerspricht dem Carnot'schen Satz (Satz 5.2) – wäre ein Perpetuum mobile 2. Art."
"[K6] Coulombgesetz (Formel)?";"\\(\vec F_C=\dfrac{1}{4\pi\varepsilon_0}\dfrac{q_1q_2}{r^2}\hat e_r\\)"
"[K6] Definition des elektrischen Feldes?";"\\(\vec E(\vec r):=\lim_{q\to0}\vec F_C(\vec r)/q\\)"
"[K6] Wert der Elementarladung?";"\\(e=1{,}602\cdot10^{-19}\,\text{C}\\)"
"[K6] Superpositionsprinzip für \\(\vec E\\) (diskrete Ladungen)?";"\\(\vec E(\vec r)=\dfrac{1}{4\pi\varepsilon_0}\displaystyle\sum_i q_i\dfrac{\vec r-\vec r_i}{|\vec r-\vec r_i|^3}\\)"
"[K6] Zusammenhang zwischen elektrischem Feld und Potential?";"\\(\vec E=-\nabla\phi\\)"
"[K6] Definition der Spannung?";"\\(U:=\phi(\vec r_A)-\phi(\vec r_B)\\)"
"[K6] Definition des elektrischen Dipolmoments?";"\\(\vec p:=Q\vec d\\)"
"[K6] Drehmoment auf einen Dipol im homogenen E-Feld?";"\\(\vec M=\vec p\times\vec E\\)"
"[K6] Potentielle Energie eines Dipols im E-Feld?";"\\(E_{pot}=-\vec p\cdot\vec E\\)"
"[K6] Kraft auf einen Dipol im INHOMOGENEN E-Feld?";"\\(\vec F=(\vec p\cdot\nabla)\vec E\\)"
"[K6 – Verständnis] Warum ist die Coulombkraft eine konservative Kraft?";"Sie ist eine Zentralkraft (\\(\vec F\propto\hat e_r\\), Betrag nur von \\(r\\) abhängig) – für jede Zentralkraft existiert ein Potential \\(V(r)\\), daher wegunabhängig."
"[K6 – Beweis] Kernidee des Beweises der Wegunabhängigkeit der Coulombkraft-Arbeit?";"Zentralkraft \\(\vec F(r)=f(r)\hat e_r\\) ist stets ein Gradientenfeld \\(-\nabla V(r)\\) – Gradientenfelder sind per Hauptsatz für Kurvenintegrale wegunabhängig."
"[K6] Feld einer unendlich ausgedehnten geladenen Platte (Formel)?";"\\(\vec E=\dfrac{\sigma}{2\varepsilon_0}\hat e_n\\)"
"[K6 – Beweis] Kernidee der Herleitung des Plattenfeldes?";"Zerlegung in konzentrische Ringe, Integration der Ring-Beiträge über alle Radien mit Substitution \\(u=z^2+r^2\\)."
"[K6] Feld zwischen den Platten eines Plattenkondensators?";"\\(E_{innen}=\sigma/\varepsilon_0\\) (Summe beider Plattenbeiträge), \\(E_{außen}=0\\)"
"[K6 – Fehler] Warum ist \\(\phi=0\\) an einem Punkt NICHT gleichbedeutend mit \\(\vec E=0\\) dort?";"\\(\phi\\) ist ein Skalar (Summe kann sich zu 0 auslöschen), \\(\vec E\\) ist ein Vektor (Beträge addieren sich, auch wenn \\(\phi=0\\))."
"[K6 – Vergleich] Unterschied Superposition von \\(\vec E\\) vs. \\(\phi\\)?";"\\(\vec E\\): vektorielle Summe (Richtung beachten!). \\(\phi\\): skalare Summe (einfacher zu berechnen)."
"[K6 – Anwendung] Wie berechnet man das Feld auf der Achse eines geladenen Rings?";"Symmetrie nutzen (Radialkomponenten heben sich auf), nur Achsenkomponente integrieren: \\(E_z=\dfrac{1}{4\pi\varepsilon_0}\dfrac{Qz}{(z^2+R^2)^{3/2}}\\)"
"[K6 – Transfer] Welches spätere Kapitel führt ein strukturell identisches Dipolmoment-Konzept ein?";"Kapitel 11 (magnetisches Dipolmoment \\(\vec\mu=IA\hat n\\), gleiche Formelstruktur für Drehmoment/Energie)."
"[K7] Definition des elektrischen Flusses?";"\\(\Phi_{el}:=\int_A\vec E\cdot d\vec A\\)"
"[K7] Gauß'sches Gesetz (Integralform)?";"\\(\oint_S\vec E\cdot d\vec A=Q_{innen}/\varepsilon_0\\)"
"[K7] Gauß'sches Gesetz (differentiell, 1. Maxwell-Gleichung)?";"\\(\operatorname{div}\vec E=\rho/\varepsilon_0\\)"
"[K7 – Beweis] Kernidee des Beweises des Gauß'schen Gesetzes?";"Für Punktladung + Kugel: \\(\oint\vec E\cdot d\vec A=Q/\varepsilon_0\\) exakt. Für beliebige Fläche: Raumwinkelargument (\\(\oint d\Omega=4\pi\\)). Für viele Ladungen: Superposition, nur innen liegende tragen bei."
"[K7 – Beweis] Wie folgt die differentielle aus der integralen Form des Gauß'schen Gesetzes?";"Direkte Anwendung des Satzes von Gauß (\\(\oint_S\vec E\cdot d\vec A=\int_V\operatorname{div}\vec E\,dV\\)) auf die Integralform, dann punktweiser Vergleich der Integranden (V beliebig)."
"[K7] Poisson-Gleichung?";"\\(\Delta\phi=-\rho/\varepsilon_0\\)"
"[K7] Laplace-Gleichung?";"\\(\Delta\phi=0\\) (im ladungsfreien Raum)"
"[K7] Eigenschaften eines Leiters im elektrostatischen Gleichgewicht (3 Punkte)?";"<ul><li>\\(\vec E_{innen}=0\\)</li><li>Ladung sitzt nur auf der Oberfläche</li><li>\\(\vec E\perp\\) Oberfläche</li></ul>"
"[K7] Feld einer geladenen Kugel(-schale) innen und außen?";"innen (\\(r<R\\)): \\(E=0\\)<br>außen (\\(r>R\\)): \\(E=\dfrac{1}{4\pi\varepsilon_0}\dfrac{Q}{r^2}\\) (wie Punktladung)"
"[K7 – Beweis] Kernidee der Herleitung des Kugelfeldes mit Gauß'schem Gesetz?";"Konzentrische Kugel als Gauß-Fläche wählen, \\(E(r)\cdot4\pi r^2=Q_{innen}/\varepsilon_0\\), \\(Q_{innen}\\) je nach \\(r\\) bestimmen."
"[K7] Definition der Kapazität?";"\\(C:=Q/U\\), Einheit F (Farad)"
"[K7] Formel für die Kapazität des Plattenkondensators?";"\\(C=\varepsilon_0\dfrac{A}{d}\\)"
"[K7] Formel für die Kapazität des Kugelkondensators (Radien a<b)?";"\\(C=\dfrac{4\pi\varepsilon_0}{1/a-1/b}\\)"
