"Front";"Back"
"[Kap.1][Beispiel] Abzählbare Umgebungsbasis von \(\mathbb{R}\)";"\(\mathcal{B} = \{I_\varepsilon(x): x\in\mathbb{Q}, \varepsilon\in\mathbb{Q}_{>0}\}\), \(I_\varepsilon(x)=(x-\varepsilon,x+\varepsilon)\)"
"[Kap.1][Def] Hausdorff-Raum";"\(\forall x\neq y \in X\ \exists U_x \in N(x), U_y \in N(y): U_x \cap U_y = \emptyset\)<br>Verschiedene Punkte lassen sich durch disjunkte Umgebungen trennen"
"[Kap.1][Intuition] Warum ist Hausdorff wichtig?";"Ohne Hausdorff-Eigenschaft können Grenzwerte nicht eindeutig sein, da sich Punkte nicht trennen lassen"
"[Kap.1][Vergleich] Diskrete vs. indiskrete Topologie";"<b>Diskret</b>: \(N(x)\ni\{x\}\), jede Teilmenge offen, Hausdorff'sch<br><b>Indiskret</b>: \(N(x)=\{X\}\) für alle \(x\), nicht Hausdorff'sch (falls \(|X|>1\))"
"[Kap.1][Def] Konvergenz einer Folge (topologisch)";"\(x=\lim a_n :\Leftrightarrow \forall U\in N(x)\ \exists n_0\ \forall n\geq n_0: a_n\in U\)"
"[Kap.1][Satz] Eindeutigkeit von Grenzwerten (Lemma 1.7)";"Ist \(X\) Hausdorff'sch, so hat jede konvergente Folge höchstens einen Grenzwert"
"[Kap.1][Beweisidee] Kernidee Lemma 1.7 (Eindeutigkeit Grenzwerte)";"Widerspruchsbeweis: Angenommen zwei Grenzwerte \(x\neq y\), wähle disjunkte Umgebungen (Hausdorff), Folge müsste ab einem Index in beiden liegen, Widerspruch"
"[Kap.1][Gegenbeispiel] Grenzwert nicht eindeutig ohne Hausdorff";"Indiskrete Topologie auf \(X=\{a,b\}\): jede Folge konvergiert gegen jeden Punkt"
"[Kap.1][Def] Stetigkeit bei \(x\) (topologisch)";"\(f\) stetig bei \(x\) \(:\Leftrightarrow \forall U\in M(f(x))\ \exists V\in N(x): f(V)\subseteq U\)"
"[Kap.1][Satz] Charakterisierung von Stetigkeit über Urbilder (Lemma 1.9)";"\(f\) stetig für alle \(x\in X\) \(\iff\) für jede offene \(O\subseteq Y\) ist \(f^{-1}(O)\) offen in \(X\)"
"[Kap.1][Anwendung] Wann benutzt man Lemma 1.9 statt der \(\varepsilon\)-\(\delta\)-Definition?";"Immer, wenn man Stetigkeit in einem allgemeinen topologischen Raum beweisen will, ohne konkrete Metrik zur Verfügung zu haben"
"[Kap.1][Beweisidee] Kernidee Lemma 1.9, Richtung stetig ⇒ Urbild offen";"Für \(x\in f^{-1}(O)\): da \(O\) offen also \(O\in M(f(x))\), Stetigkeit liefert \(V\in N(x)\) mit \(f(V)\subseteq O\), also \(V\subseteq f^{-1}(O)\), \(x\) ist innerer Punkt"
"[Kap.1][Satz] Folgenkriterium der Stetigkeit (Lemma 1.10)";"Hat \(x\) eine abzählbare Umgebungsbasis (erste Abzählbarkeit), so ist \(f\) stetig bei \(x\) \(\iff\) für jede Folge \(a_n\to x\) gilt \(f(a_n)\to f(x)\)"
"[Kap.1][Voraussetzung] Welche Zusatzbedingung braucht das Folgenkriterium der Stetigkeit?";"Erste Abzählbarkeit von \(x\) (abzählbare Umgebungsbasis). Ohne diese Voraussetzung gilt die Rückrichtung im Allgemeinen nicht."
"[Kap.1][Beweisidee] Kernidee Lemma 1.10, Rückrichtung (Folgenstetigkeit ⇒ Stetigkeit)";"Widerspruchsbeweis mit Diagonalfolge: schrumpfende Umgebungen \(\hat N_i\) aus der abzählbaren Basis konstruieren, Punkte \(x_i\in\hat N_i\setminus f^{-1}(U)\) wählen, dies liefert Folge \(x_i\to x\) mit \(f(x_i)\not\to f(x)\)"
"[Kap.1][Def] Zusammenhängender Raum";"\(X\) zusammenhängend \(:\Leftrightarrow X\) ist nicht Vereinigung zweier disjunkter, nicht-leerer offener Mengen"
"[Kap.1][Satz] Zwischenwertsatz, topologische Version (Satz 1.12)";"\(f:X\to Y\) stetig, \(X\) zusammenhängend \(\Rightarrow f(X)\) zusammenhängend"
"[Kap.1][Beweisidee] Kernidee Satz 1.12 (Zwischenwertsatz)";"Widerspruchsbeweis: Zerlegung von \(f(X)\) in zwei offene disjunkte Teile liefert via Urbild (Lemma 1.9) eine Zerlegung von \(X\), Widerspruch zum Zusammenhang von \(X\)"
"[Kap.1][Def] Kompaktheit (Überdeckungskompaktheit)";"\(K\) kompakt \(:\Leftrightarrow\) jede offene Überdeckung von \(K\) besitzt eine endliche Teilüberdeckung"
"[Kap.1][Intuition] Was bedeutet Kompaktheit anschaulich?";"Endlichkeit im Unendlichen: Auch bei unendlich vielen Punkten reichen endlich viele überdeckende Mengen aus"
"[Kap.1][Gegenbeispiel] Nicht-kompakte Menge mit Standard-Überdeckung";"\((0,1)\subseteq\mathbb{R}\) mit \(O_n=(1/n,1)\): keine endliche Teilüberdeckung, da für jede endliche Auswahl das Infimum der \(1/n\) nicht erreicht wird"
"[Kap.1][Satz] Stetige Bilder kompakter Mengen (Lemma 1.14)";"\(f:X\to Y\) stetig, \(K\subseteq X\) kompakt \(\Rightarrow f(K)\) kompakt"
"[Kap.1][Beweisidee] Kernidee Lemma 1.14";"Urbilder \(f^{-1}(O_\alpha)\) einer Überdeckung von \(f(K)\) bilden offene Überdeckung von \(K\) (Lemma 1.9), endliche Teilüberdeckung von \(K\) liefert via Anwendung von \(f\) endliche Teilüberdeckung von \(f(K)\)"
"[Kap.1][Anwendung] Wofür wird Lemma 1.14 später gebraucht?";"Zentraler Baustein für den Extremwertsatz (Satz 1.68): stetige Funktion auf Kompaktum nimmt Maximum/Minimum an"
"[Kap.2][Def] Metrik (metrischer Raum)";"\(d: M\times M\to\mathbb{R}\) mit<br>(i) \(d(x,y)\geq0\)<br>(ii) \(d(x,y)=0\iff x=y\)<br>(iii) \(d(x,y)=d(y,x)\)<br>(iv) \(d(x,y)\leq d(x,z)+d(z,y)\) (Dreiecksungleichung)"
"[Kap.2][Verständnis] Warum ist Axiom (i) der Metrik redundant?";"Folgt aus (ii)-(iv): setze in Dreiecksungleichung \(z=y\), nutze Symmetrie: \(0=d(x,x)\leq d(x,y)+d(y,x)=2d(x,y)\), also \(d(x,y)\geq0\)"
"[Kap.2][Def] Metrische Topologie";"Kleinste Umgebungstopologie, die alle \(\varepsilon\)-Bälle \(U_\varepsilon(x)=\{y: d(x,y)<\varepsilon\}\) enthält"
"[Kap.2][Satz] Fundamentale Eigenschaften metrischer Räume";"Jeder metrische Raum ist automatisch<br><ul><li>Hausdorff'sch</li><li>erst-abzählbar</li></ul>Damit gilt uneingeschränkt das Folgenkriterium der Stetigkeit"
"[Kap.2][Beweisidee] Warum ist jeder metrische Raum Hausdorff'sch?";"Für \(x\neq y\) setze \(\varepsilon:=d(x,y)/2\), dann sind \(U_\varepsilon(x)\) und \(U_\varepsilon(y)\) disjunkt wegen Dreiecksungleichung"
"[Kap.2][Def] Cauchy-Folge";"\(a\) Cauchy-Folge \(:\Leftrightarrow \forall\varepsilon>0\ \exists n_0\ \forall n,m\geq n_0: d(a_n,a_m)<\varepsilon\)"
"[Kap.2][Intuition] Unterschied Cauchy-Folge vs. konvergente Folge";"Cauchy-Eigenschaft ist eine <b>interne</b> Bedingung (Folgenglieder rücken zusammen), Konvergenz eine <b>externe</b> Bedingung (Grenzwert muss im Raum existieren)"
"[Kap.2][Def] Vollständigkeit";"\((M,d)\) vollständig \(:\Leftrightarrow\) jede Cauchy-Folge in \(M\) konvergiert (gegen ein Element von \(M\))"
"[Kap.2][Satz] Konvergent ⇒ Cauchy (Lemma 1.19)";"In jedem metrischen Raum ist jede konvergente Folge eine Cauchy-Folge. Umkehrung gilt im Allgemeinen NICHT."
"[Kap.2][Beweisidee] Kernidee Lemma 1.19";"Dreiecksungleichung: \(d(a_n,a_m)\leq d(a_n,x)+d(x,a_m)\), beide Terme werden klein für \(n,m\) groß"
"[Kap.2][Gegenbeispiel] Cauchy-Folge ohne Grenzwert im Raum";"\(\mathbb{Q}\) mit \(d(x,y)=|x-y|\): Dezimalapproximationen von \(\sqrt2\) sind Cauchy in \(\mathbb{Q}\), konvergieren aber gegen \(\sqrt2\notin\mathbb{Q}\). \((\mathbb{Q},|\cdot|)\) ist nicht vollständig."
"[Kap.2][Def] Dichtheit";"\(D\subseteq M\) dicht \(:\Leftrightarrow \forall x\in M\ \exists (a_n)\subseteq D: x=\lim a_n\)"
"[Kap.2][Satz] Vervollständigung metrischer Räume (Satz 1.23)";"Jeder metrische Raum \((M,d)\) lässt sich zu einem vollständigen metrischen Raum \((\overline M,d_c)\) vervollständigen, wobei \(\overline M\) aus Äquivalenzklassen von Cauchy-Folgen besteht"
"[Kap.2][Def] Äquivalenzrelation bei der Vervollständigung";"\(a\sim b :\iff d_c(a,b):=\lim_{n\to\infty}d(a_n,b_n)=0\)"
"[Kap.2][Beweisidee] Warum ist \(d_c\) zunächst nur eine Pseudometrik?";"\(d_c(a,b)=0\) bedeutet nicht \(a=b\) als Folgen, sondern nur, dass die Folgen im Grenzwert zusammenlaufen. Deshalb Übergang zu Äquivalenzklassen nötig."
"[Kap.2][Beweisidee] Kernidee Wohldefiniertheit von \(d_c\) (Schritt 1)";"Zeige \((d(a_n,b_n))_n\) ist Cauchy-Folge in \(\mathbb{R}\) via umgekehrter Dreiecksungleichung \(|d(a_n,b_n)-d(a_m,b_m)|\leq d(a_n,a_m)+d(b_n,b_m)\), dann Vollständigkeit von \(\mathbb{R}\)"
"[Kap.2][Anwendung] Wofür ist der Vervollständigungssatz das Vorbild?";"Konstruktion von \(\mathbb{R}\) aus \(\mathbb{Q}\) via Cauchy-Folgen"
"[Kap.2][Satz] Bolzano-Weierstraß in metrischen Räumen (Satz 1.26)";"\(K\) kompakt \(\iff\) jede Folge in \(K\) besitzt konvergente Teilfolge mit Grenzwert in \(K\) (Folgenkompaktheit)"
"[Kap.2][Beweisidee] Kernidee Satz 1.26, Richtung kompakt ⇒ folgenkompakt";"Kontraposition: Folge ohne Häufungspunkt in \(K\) liefert für jedes \(x\) eine Umgebung mit nur endlich vielen Folgengliedern, diese Überdeckung hat keine endliche Teilüberdeckung mit unendlich vielen Folgengliedern insgesamt"
"[Kap.2][Beweisidee] Kernidee Satz 1.26, Richtung folgenkompakt ⇒ kompakt";"Zweistufig: (i) Lebesgue-Zahl \(\varepsilon\) existiert, sodass jeder \(\varepsilon\)-Ball in einem Überdeckungselement liegt, (ii) \(K\) lässt sich mit endlich vielen \(\varepsilon\)-Bällen überdecken (sonst Konstruktion einer Folge ohne konvergente Teilfolge)"
"[Kap.2][Satz] Satz von Heine-Borel im \(\mathbb{R}^n\) (Satz 1.55)";"\(K\subseteq\mathbb{R}^n\) kompakt \(\iff K\) abgeschlossen und beschränkt"
"[Kap.2][Voraussetzung] Wo gilt Heine-Borel NICHT?";"In unendlichdimensionalen normierten/Banachräumen. Die abgeschlossene Einheitskugel in \(C^0[0,1]\) ist abgeschlossen und beschränkt, aber NICHT kompakt."
"[Kap.2][Fehler] Klausurfalle: Heine-Borel unreflektiert anwenden";"Heine-Borel gilt nur im \(\mathbb{R}^n\) (endlichdimensional)! In allgemeinen metrischen/Banachräumen muss Folgenkompaktheit (Satz 1.26) direkt geprüft werden."
"[Kap.2][Beweisidee] Kernidee Satz 1.55, Richtung ⇐ (abg.+beschr. ⇒ kompakt)";"Induktion über Dimension \(n\): zerlege Folge in \(\mathbb{R}^{n-1}\)-Teil und letzte Komponente, wende Induktionsvoraussetzung und eindimensionalen Bolzano-Weierstraß sukzessive an"
"[Kap.2][Vergleich] Konvergenz vs. Cauchy vs. Vollständigkeit";"<b>Konvergenz</b>: Grenzwert existiert im Raum<br><b>Cauchy</b>: Folgenglieder rücken zusammen, unabhängig vom Raum<br><b>Vollständigkeit</b>: Eigenschaft des Raumes, dass jede Cauchy-Folge konvergiert"
"[Kap.2][Anwendung] Strategie: Ist \((M,d)\) vollständig?";"Cauchy-Folge nehmen, Kandidat für Grenzwert konstruieren, Konvergenz IM RAUM nachweisen (nicht nur punktweise bei Funktionenräumen!)"
"[Kap.2][Anwendung] Strategie: Ist \(K\) kompakt im \(\mathbb{R}^n\)?";"Heine-Borel: abgeschlossen und beschränkt prüfen"
"[Kap.2][Anwendung] Strategie: Ist \(K\) kompakt in allgemeinem metrischen Raum?";"Heine-Borel gilt nicht automatisch. Folgenkompaktheit (Satz 1.26) direkt prüfen: hat jede Folge eine konvergente Teilfolge mit Grenzwert in \(K\)?"
"[Kap.1-2][Transfer] Welches Konzept, wenn man in einem Funktionenraum Vollständigkeit zeigen soll?";"Cauchy-Folge von Funktionen nehmen, punktweisen Grenzwert konstruieren, dann zeigen, dass Konvergenz sogar in der Norm des Raumes gilt (z.B. gleichmäßig statt nur punktweise)"
"[Kap.3][Def] Norm (Normaxiome)";"\(\|\cdot\|:E\to\mathbb{R}_{\geq0}\) mit<br>(i) \(\|\alpha x\|=|\alpha|\|x\|\)<br>(ii) \(\|x+y\|\leq\|x\|+\|y\|\)<br>(iii) \(\|x\|=0\iff x=0\)"
"[Kap.3][Def] Banachraum";"Normierter Raum \((B,\|\cdot\|)\), der bezüglich der induzierten Metrik \(d(x,y)=\|x-y\|\) vollständig ist"
"[Kap.3][Satz] Norm induziert Metrik (Lemma 1.29)";"\(d(x,y):=\|x-y\|\) ist eine Metrik auf jedem normierten Raum \(E\)"
"[Kap.3][Beispiel] Standardbeispiele für Normen auf \(\mathbb{R}^n\)";"\(\|x\|_2=\sqrt{\sum x_i^2}\) (euklidisch), \(\|x\|_p=(\sum|x_i|^p)^{1/p}\)"
"[Kap.3][Beispiel] Unendlichdimensionaler Banachraum";"\(\ell^2(\mathbb{R})=\{x:\mathbb{N}\to\mathbb{R}: \sum x_i^2<\infty\}\) mit \(\|x\|_2=\sqrt{\sum x_i^2}\)"
"[Kap.3][Def] Operatornorm";"Für lineares \(a:A\to B\): \(\|a\|:=\sup_{0\neq x\in A}\frac{\|a(x)\|}{\|x\|}=\sup_{\|x\|=1}\|a(x)\|\)"
"[Kap.3][Def] \(L(A,B)\)";"Menge aller beschränkten (\(\|a\|<\infty\)) linearen Abbildungen \(A\to B\)"
"[Kap.3][Satz] Beschränkt ⟺ Stetig für lineare Abbildungen (Lemma 1.74)";"Für lineares \(a:A\to B\) gilt: \(a\) beschränkt \(\iff a\) stetig"
"[Kap.3][Verständnis] Warum ist Lemma 1.74 bei linearen Abbildungen besonders?";"Bei allgemeinen (nichtlinearen) Funktionen sind Beschränktheit und Stetigkeit unabhängige Eigenschaften. Bei linearen Abbildungen fallen sie zusammen."
"[Kap.3][Beweisidee] Kernidee Lemma 1.74, Richtung beschränkt ⇒ stetig";"\(\|a(x)-a(y)\|=\|a(x-y)\|\leq\|a\|\|x-y\|\) liefert Lipschitz-Stetigkeit"
"[Kap.3][Beweisidee] Kernidee Lemma 1.74, Richtung stetig ⇒ beschränkt";"Stetigkeit bei 0 mit \(\varepsilon=1\) liefert \(\delta\), skaliere beliebiges \(x\) auf Länge \(\delta\), erhalte \(\|a\|\leq1/\delta<\infty\)"
"[Kap.3][Satz] \(L(A,B)\) ist Banachraum (Lemma 1.35)";"Sind \(A,B\) Banachräume, so ist \((L(A,B),\|\cdot\|)\) selbst ein Banachraum"
"[Kap.3][Anwendung] Wofür wird Lemma 1.35 später gebraucht?";"Damit man von höheren Ableitungen \(D^kf(x)\in L(X,L(X,...,Y))\) sprechen kann, muss \(L(A,B)\) selbst wieder Banachraum sein"
"[Kap.3][Beweisidee] Kernidee Vollständigkeit von \(L(A,B)\)";"Punktweiser Grenzwert \(a(x):=\lim a_n(x)\) definieren, Linearität und Beschränktheit von \(a\) zeigen, dann \(\|a_n-a\|\to0\) (nicht nur punktweise!) via \(\varepsilon/2\)-Argument"
"[Kap.3][Def] Fréchet-Differenzierbarkeit";"\(f\) diffbar bei \(x\) \(:\Leftrightarrow \exists a\in L(A,B): \lim_{g\to0}\frac{\|f(x+g)-f(x)-a(g)\|}{\|g\|}=0\)<br>Schreibe \(Df(x):=a\)"
"[Kap.3][Intuition] Was bedeutet \(Df(x)\) anschaulich?";"Die beste lineare Approximation von \(f\) nahe \(x\): \(f(x+g)\approx f(x)+Df(x)[g]\), Fehler geht schneller als \(\|g\|\) gegen 0"
"[Kap.3][Notation] Warum eckige Klammern \(Df(x)[g]\) statt Multiplikation?";"\(Df(x)\) ist eine lineare ABBILDUNG (kein Skalar), die auf \(g\) angewendet wird, nicht mit ihm multipliziert wird"
"[Kap.3][Def] Stetige Differenzierbarkeit, \(C^1\)";"\(f\in C^1(U,B)\) \(:\Leftrightarrow f\) diffbar für alle \(x\in U\) und \(Df:U\to L(A,B)\) ist stetig"
"[Kap.3][Satz] Kettenregel (Satz 1.29)";"\(f:X\to Y\) diffbar bei \(x\), \(g:Y\to Z\) diffbar bei \(f(x)\) \(\Rightarrow D(g\circ f)(x)=Dg(f(x))\circ Df(x)\)"
"[Kap.3][Beweisidee] Kernidee Kettenregel-Beweis";"Zerlege Restterm \(R(g)\) in zwei Teile \(\Theta_1,\Theta_2\), zeige beide sind \(o(\|g\|)\) durch getrennte Anwendung der Differenzierbarkeitsdefinitionen von \(f\) bzw. \(g\)"
"[Kap.3][Fehler] Gibt es eine allgemeine Produktregel in Banachräumen?";"NEIN. Es gibt kein Produkt zweier beliebiger Vektoren in einem allgemeinen Banachraum. Nur für stetige BILINEARE Abbildungen \(\beta\) gilt eine Leibniz-Regel."
"[Kap.3][Satz] Leibniz-Regel für bilineare Abbildungen";"\(\beta:X\times Y\to Z\) stetig bilinear, \(f,g\) diffbar \(\Rightarrow D[\beta(f,g)](x)[h]=\beta(Df(x)[h],g(x))+\beta(f(x),Dg(x)[h])\)"
"[Kap.3][Def] Kontraktion";"\(F:M\to M\) Kontraktion \(:\Leftrightarrow \exists\lambda\in[0,1): d(F(x),F(y))\leq\lambda d(x,y)\ \forall x,y\)"
"[Kap.3][Satz] Mittelwertungleichung (Lemma 1.90)";"\(f\in C^1(U,Y)\), \(\|Df(x)\|\leq M\ \forall x\in U\) \(\Rightarrow \|f(x)-f(y)\|\leq M\|x-y\|\)"
"[Kap.3][Verständnis] Warum ersetzt die Mittelwertungleichung den klassischen Mittelwertsatz?";"Der klassische Mittelwertsatz \(f(x)-f(y)=f'(\xi)(x-y)\) gilt in Banachräumen NICHT wörtlich, da es kein \(\xi\) für vektorwertige Funktionen geben muss. Nur die Ungleichung bleibt allgemeingültig."
"[Kap.3][Gegenbeispiel] Klassischer Mittelwertsatz scheitert in Banachräumen";"\(f(t)=(\cos t,\sin t)\): \(f(2\pi)-f(0)=(0,0)\), aber \(Df(t)[1]=(-\sin t,\cos t)\neq(0,0)\) für JEDES \(t\). Kein \(\xi\) erfüllt die Gleichung."
"[Kap.3][Beweisidee] Kernidee Mittelwertungleichung";"Hilfsfunktion \(F(t)=f((1-t)y+tx)\), Kettenregel für \(F'(t)\), dann Integralabschätzung \(\|f(x)-f(y)\|=\|\int_0^1F'(s)ds\|\leq\int_0^1\|F'(s)\|ds\leq M\|x-y\|\)"
"[Kap.4][Def] Banach-Fixpunktsatz - Aussage";"\((M,d)\) vollständig, \(F:M\to M\) Kontraktion mit \(\lambda\in[0,1)\) \(\Rightarrow\) genau ein Fixpunkt \(x_0\) mit \(F(x_0)=x_0\)"
"[Kap.4][Voraussetzung] Welche zwei Voraussetzungen sind beim Fixpunktsatz essentiell?";"(1) Vollständigkeit von \(M\), (2) \(\lambda<1\) STRIKT (nicht nur \(\leq1\))"
"[Kap.4][Gegenbeispiel] Fixpunktsatz ohne Vollständigkeit";"\(M=(0,1)\) (nicht vollständig), \(F(x)=x/2\): Kontraktion mit \(\lambda=1/2\), aber einziger Fixpunkt \(0\notin M\)"
"[Kap.4][Gegenbeispiel] Fixpunktsatz mit \(\lambda=1\) (nicht strikt)";"\(M=\mathbb{R}\), \(F(x)=x+1\): Isometrie (\(\lambda=1\)), aber KEIN Fixpunkt"
"[Kap.4][Algorithmus] Wie lautet die Fixpunktiteration?";"\(x_1\) beliebig wählen, dann \(x_{n+1}:=F(x_n)\) rekursiv. Konvergiert gegen den Fixpunkt."
"[Kap.4][Beweisidee] Kernidee Banach-Fixpunktsatz, Existenz";"Iterationsfolge \(x_{n+1}=F(x_n)\) ist Cauchy-Folge (via geometrischer Reihe \(\lambda^{n-1}\)), Vollständigkeit liefert Grenzwert, Stetigkeit von \(F\) zeigt Fixpunkteigenschaft"
"[Kap.4][Beweisidee] Kernidee Banach-Fixpunktsatz, Eindeutigkeit";"Für zwei Fixpunkte \(x_0,y_0\): \(d(x_0,y_0)=d(F(x_0),F(y_0))\leq\lambda d(x_0,y_0)\), also \((1-\lambda)d(x_0,y_0)\leq0\), also \(d(x_0,y_0)=0\)"
"[Kap.4][Formel] A-priori-Fehlerabschätzung Fixpunktiteration";"\(d(x_n,x_0)\leq\frac{\lambda^{n-1}}{1-\lambda}d(x_2,x_1)\) (geometrische/lineare Konvergenz)"
"[Kap.4][Anwendung] Wo wird der Banach-Fixpunktsatz konkret benutzt?";"Beweis des Umkehrsatzes, Newton-Verfahren, Existenz von Lösungen gewöhnlicher Differentialgleichungen (Picard-Lindelöf)"
"[Kap.4][Def] Umkehrsatz - Aussage (Satz 1.42)";"\(f\in C^1(U,Y)\), \(Df(x)\) beschränkter Isomorphismus \(\Rightarrow\) lokale \(C^1\)-Umkehrabbildung \(g\) existiert mit \(Dg(y)=Df(g(y))^{-1}\)"
"[Kap.4][Voraussetzung] Kernvoraussetzung des Umkehrsatzes";"\(Df(x_0)\in GL(X,Y)\), d.h. bijektiv mit stetiger Inverser (beschränkter Isomorphismus)"
"[Kap.4][Fehler] Klausurfalle: Umkehrsatz liefert globale Umkehrbarkeit?";"NEIN, der Umkehrsatz liefert nur eine LOKALE Aussage, nie globale Umkehrbarkeit"
"[Kap.4][Gegenbeispiel] Umkehrsatz nicht anwendbar, aber trotzdem umkehrbar";"\(f(x)=x^3\) bei \(x_0=0\): \(f'(0)=0\), Umkehrsatz nicht anwendbar, aber \(f\) ist global bijektiv. Umkehrsatz liefert nur hinreichende, keine notwendige Bedingung."
"[Kap.4][Gegenbeispiel] Entartete Ableitung UND tatsächlich nicht lokal injektiv";"\(f(x)=x^2\) bei \(x_0=0\): \(f'(0)=0\), und \(f\) ist tatsächlich nicht lokal injektiv (\(f(x)=f(-x)\))"
"[Kap.4][Beweisidee] Kernidee Umkehrsatz-Beweis, Schritt 1";"Normalisierung: o.B.d.A. \(x=0\), \(f(0)=0\), \(Df(0)=\mathrm{id}\)"
"[Kap.4][Beweisidee] Kernidee Umkehrsatz-Beweis, Schritt 2";"Umformulierung als Fixpunktproblem: \(f(z)=y \iff z=y-h(z)=:g_y(z)\), wobei \(h(z)=f(z)-z\)"
"[Kap.4][Beweisidee] Kernidee Umkehrsatz-Beweis, Schritt 3";"\(g_y\) ist Kontraktion mit \(\lambda=1/2\) auf \(\overline{B_r}\), da \(Dh(0)=0\) und Stetigkeit von \(Dh\) kleine Operatornorm nahe 0 garantiert (via Mittelwertungleichung)"
"[Kap.4][Beweisidee] Kernidee Umkehrsatz-Beweis, Schritt 4";"Banach-Fixpunktsatz liefert eindeutigen Fixpunkt \(z=g_y(z)=:g(y)=f^{-1}(y)\)"
"[Kap.4][Beweisidee] Kernidee Umkehrsatz-Beweis, Schritt 5";"Differenzierbarkeit von \(g\) über Invertierbarkeit von \(Df(z)\) nahe 0 (Neumannsche Reihe) und direkte \(\varepsilon\)-Abschätzung"
"[Kap.4][Satz] \(GL(X,Y)\) ist offen (Lemma 1.44)";"\(GL(X,Y)\) ist offene Teilmenge von \(L(X,Y)\), und \(g\mapsto g^{-1}\) ist stetig auf \(GL(X,Y)\)"
"[Kap.4][Formel] Neumannsche Reihe";"Ist \(\|h\|<1\) (\(h\in L(X,X)\)), so ist \(\mathrm{id}-h\) invertierbar mit \((\mathrm{id}-h)^{-1}=\sum_{k=0}^\infty h^{\circ k}\)"
"[Kap.4][Beweisidee] Kernidee Lemma 1.44 (Offenheit von \(GL(X,Y)\))";"Ist \(\|f-g\|<\|g^{-1}\|^{-1}\), dann \(\|g^{-1}\circ(f-g)\|<1\), Neumannsche Reihe zeigt \(g^{-1}\circ f\) invertierbar, also auch \(f=g\circ(g^{-1}\circ f)\) invertierbar"
"[Kap.4][Def] Satz über implizite Funktionen - Aussage (Satz 1.45)";"\(D_yf(x_0,y_0)\in GL(Y,Z)\) \(\Rightarrow\) lokale eindeutige \(C^1\)-Funktion \(g\) mit \(f(x,g(x,w))=w\)"
"[Kap.4][Formel] Ableitungsformel implizite Funktion (Spezialfall)";"Für \(f(x,g(x))=0\): \(Dg(x)=-[D_yf(x,g(x))]^{-1}\circ D_xf(x,g(x))\)"
"[Kap.4][Verständnis] Wann lässt sich \(\phi(x,y)=0\) lokal nach \(y\) auflösen?";"Genau dann, wenn \(D_y\phi(x_0,y_0)\) invertierbar ist"
