Front;Back
"<b>Kernidee</b>: Beweis ""irreduzibel \(\Rightarrow\) prim"" (in \(k[X]\), \(\mathbb{Z}\))?";"\(x\mid ab\), \(x\nmid a\). Da \(x\) irreduzibel, \(\gcd(x,a)=1\), Bézout: \(1=c_1x+c_2a\).<br>Mal \(b\): \(b=c_1xb+c_2ab\); beide Terme durch \(x\) teilbar \(\Rightarrow x\mid b\).<br><i>(Kap. 0)</i>"
"Satz <b>Primfaktorzerlegung in \(\mathbb{Z}\)</b>?";"Jedes \(z\neq0\): \(z=a\,p_1\cdots p_n\), \(a\in\{\pm1\}\), \(p_i\) prim — <b>eindeutig</b> bis auf Reihenfolge.<br><i>(Kap. 0)</i>"
"Satz <b>Polynomfaktorzerlegung in \(k[X]\)</b>?";"Jedes \(P\neq0\): \(P=a\,P_1\cdots P_n\), \(a\in k\setminus\{0\}\), \(P_i\) irreduzibel & normiert — <b>eindeutig</b> bis auf Reihenfolge.<br><i>(Kap. 0)</i>"
"<b>Kernidee</b>: Warum ist die Primfaktorzerlegung eindeutig?";"Weil ""irreduzibel = prim"" gilt: ein irreduzibler Faktor \(P_1\) teilt die andere Seite, also einen Faktor \(P_j'\); da beide normiert & irreduzibel: \(P_1=P_j'\), kürzen, Induktion.<br><i>(Kap. 0)</i>"
"Satz: Wenn \(\alpha\) Nullstelle von \(P\) ist?";"Dann \((X-\alpha)\mid P\).<br><i>(Kap. 0)</i>"
"<b>Kernidee</b>: Beweis \((X-\alpha)\mid P\) bei Nullstelle \(\alpha\)?";"Division: \(P=A(X-\alpha)+r\), \(r\in k\). Einsetzen: \(0=P(\alpha)=r\), also \(r=0\).<br><i>(Kap. 0)</i>"
"Satz: Wie viele Nullstellen hat \(P\neq0\) höchstens?";"Höchstens \(\deg P\) Nullstellen (in \(k\)).<br><i>(Kap. 0)</i>"
"<b>Voraussetzung</b> für ""höchstens \(\deg P\) Nullstellen""?";"\(k\) muss <b>Körper</b> sein (Integritätsring).<br>Gegenbeispiel: \(X^2-1\) hat in \(\mathbb{Z}/8\) vier Nullstellen.<br><i>(Kap. 0)</i>"
"Was besagt der <b>Fundamentalsatz der Algebra</b>?";"\(\mathbb{C}\) ist algebraisch abgeschlossen: jedes nicht-konstante \(P\in\mathbb{C}[X]\) hat eine Nullstelle; jedes \(P\) zerfällt über \(\mathbb{C}\) in Linearfaktoren.<br><i>(Kap. 0)</i>"
"<b>Warum</b> ist der Fundamentalsatz für LinA 2 wichtig?";"Über \(\mathbb{C}\) zerfällt \(\chi_f\) <b>immer</b> \(\Rightarrow\) jede komplexe Matrix ist trigonalisierbar und besitzt eine JNF.<br><i>(Kap. 0)</i>"
"<b>Idee</b> des Algorithmus Polynomdivision?";"Wiederholt den passend skalierten Leitterm des Divisors abziehen, bis \(\deg R<\deg Q\).<br><i>(Kap. 0)</i>"
"<b>Laufzeit</b> Polynomdivision?";"\(O(\deg A\cdot\deg Q)\), Worst Case \(O(\deg P\cdot\deg Q)\) Körperoperationen.<br><i>(Kap. 0)</i>"
"<b>Idee</b> des Euklidischen Algorithmus?";"Wiederholte Division mit Rest; Reste schrumpfen; letzter Rest \(\neq0\) ist der ggT. Rückwärts einsetzen \(\Rightarrow\) Bézout-Koeffizienten.<br><i>(Kap. 0)</i>"
"<b>Laufzeit</b> Euklidischer Algorithmus in \(k[X]\)?";"\(O(\deg p_1\cdot\deg p_2)\) Körperoperationen (Gradsumme schrumpft pro Schritt).<br><i>(Kap. 0)</i>"
"<b>Fehler</b>: Was ist an ""\(\deg(P+Q)=\max(\deg P,\deg Q)\)"" falsch?";"Nur \(\le\)! Leitterme können sich auslöschen: \((X^2+1)+(-X^2)=1\).<br>Gleichheit nur bei verschiedenen Graden.<br><i>(Kap. 0)</i>"
"<b>Fehler</b> beim ggT in \(k[X]\)?";"ggT nicht <b>normieren</b> — er ist nur bis auf Einheit (Konstante \(\neq0\)) eindeutig.<br><i>(Kap. 0)</i>"
"<b>Klausurfalle</b>: ""irreduzibel = prim"" — wann gilt das?";"<b>Nicht</b> immer! Nur in euklidischen Ringen / Hauptidealringen (z. B. \(\mathbb{Z}\), \(k[X]\)).<br>Gegenbeispiel: \(\mathbb{Z}[\sqrt5]\).<br><i>(Kap. 0)</i>"
"<b>Gegenbeispiel</b>: irreduzibel, aber nicht prim?";"In \(\mathbb{Z}[\sqrt5]\) ist \(2\) irreduzibel, aber kein Primelement.<br>Folge: Primfaktorzerlegung dort nicht eindeutig.<br><i>(Kap. 0)</i>"
"<b>Warum</b> ist \(2\) in \(\mathbb{Z}[\sqrt5]\) irreduzibel?";"Norm \(N(a+b\sqrt5)=a^2-5b^2\), \(N(2)=4\). Ein echter Faktor bräuchte Norm \(\pm2\), d. h. \(a^2-5b^2=\pm2\) — mod 5 unlösbar.<br><i>(Kap. 0)</i>"
"<b>Warum</b> ist \(2\) in \(\mathbb{Z}[\sqrt5]\) nicht prim?";"\(2\mid(1+\sqrt5)(1-\sqrt5)=-4\), aber \(2\nmid(1\pm\sqrt5)\).<br><i>(Kap. 0)</i>"
"<b>Gegenbeispiel</b>: verschiedene Polynome, gleiche Funktion?";"Über \(\mathbb{F}_2\) liefern \(X^2\) und \(X\) dieselbe Funktion; allgemein \(X^p-X\equiv0\) als Funktion über \(\mathbb{F}_p\).<br>Deshalb Polynome <b>formal</b> definieren.<br><i>(Kap. 0)</i>"
"<b>Transfer</b>: Du sollst entscheiden, ob \(x^2-2\) irreduzibel ist. Was fragst du zuerst?";"Über welchem Körper?<br>\(\mathbb{Q}\): irreduzibel; \(\mathbb{R},\mathbb{C}\): reduzibel (\(=(X-\sqrt2)(X+\sqrt2)\)).<br><i>(Kap. 0)</i>"
"<b>Klausurfalle</b>: Irreduzibilität für Grad \(\le3\) prüfen?";"Grad \(\le3\): irreduzibel \(\Leftrightarrow\) keine Nullstelle in \(k\).<br>(Gilt <b>nicht</b> für Grad \(\ge4\), z. B. \((X^2+1)^2\).)<br><i>(Kap. 0)</i>"
"<b>Verbindung</b>: Warum ist ""\(X^2+1\) irreduzibel über \(\mathbb{R}\)"" für Kapitel 5 zentral?";"Weil \(k[X]/(P)\) genau dann ein Körper ist, wenn \(P\) irreduzibel — und \(\mathbb{R}[X]/(X^2+1)=\mathbb{C}\).<br><i>(Kap. 0)</i>"
"Was ist eine <b>Äquivalenzrelation</b>?";"Relation \(\sim\), die reflexiv, symmetrisch und transitiv ist.<br><i>(Kap. 1)</i>"
"Was ist eine <b>Äquivalenzklasse</b> und was eine <b>Partition</b>?";"Klasse: \([x]=\{y\mid y\sim x\}\).<br>Die Klassen bilden eine <b>Partition</b> (disjunkte Zerlegung von \(M\)).<br><i>(Kap. 1)</i>"
"Wie ist die Relation für den <b>Quotientenraum</b> \(V/U\) definiert?";"\(v\sim v'\ :\Leftrightarrow\ v-v'\in U\) (\(U\) Unterraum).<br>Klassen sind die <b>Nebenklassen</b> \(v+U\).<br><i>(Kap. 1)</i>"
"Was ist \(V/U\)?";"Die Menge aller Nebenklassen \(v+U\), mit Vektorraumstruktur.<br>Nullvektor: \(0+U=U\).<br><i>(Kap. 1)</i>"
"Wie sind \(+\) und \(\cdot\) auf \(V/U\) definiert?";"\((v+U)+(w+U):=(v+w)+U\)<br>\(a\cdot(v+U):=(av)+U\).<br><i>(Kap. 1)</i>"
"Wann gilt \(v+U=w+U\)?";"Genau dann, wenn \(v-w\in U\).<br><i>(Kap. 1)</i>"
"Was ist die <b>kanonische Projektion</b> \(p_U\)?";"\(p_U\colon V\to V/U,\ v\mapsto v+U\).<br>Linear, surjektiv, \(\ker(p_U)=U\).<br><i>(Kap. 1)</i>"
"<b>Motivation</b>: Wozu braucht man Quotientenräume in LinA 2?";"Für <b>Induktion über die Dimension</b>: \(V/U\) senkt \(\dim\) um \(\dim U\).<br>Trägt die Beweise für Trigonalisierbarkeit und Jordan-Normalform.<br><i>(Kap. 1)</i>"
"<b>Intuition</b>: Was macht \(V/U\) anschaulich?";"\(U\) wird ""zu einem Punkt zusammengedrückt""; die Elemente von \(V/U\) sind die zu \(U\) <b>parallelen affinen Teilräume</b> \(v+U\).<br>Analogie: Rechnen modulo \(n\).<br><i>(Kap. 1)</i>"
"Beispiel: Was ist \(\mathbb{R}^2/U\) für eine Gerade \(U\) durch \(0\)?";"\(\cong\mathbb{R}\): jede zu \(U\) parallele Gerade ist ein Punkt.<br><i>(Kap. 1)</i>"
"Satz <b>Wohldefiniertheit</b> von \(V/U\)?";"Die Operationen sind repräsentantenunabhängig, und \(V/U\) ist ein Vektorraum.<br><b>Voraussetzung:</b> \(U\) ist <b>Unterraum</b>.<br><i>(Kap. 1)</i>"
"<b>Warum</b> ist die Addition auf \(V/U\) wohldefiniert?";"Aus \(v-v'\in U\), \(w-w'\in U\) folgt \((v+w)-(v'+w')\in U\), weil \(U\) unter \(+\) abgeschlossen ist.<br><i>(Kap. 1)</i>"
"<b>Voraussetzung</b>: Was passiert, wenn \(U\) nur Teilmenge (kein Unterraum) ist?";"\(V/U\) ist <b>nicht wohldefiniert</b> (\(\sim\) evtl. nicht mal symmetrisch).<br>Unterraumeigenschaft ist unverzichtbar.<br><i>(Kap. 1)</i>"
"Satz: Eigenschaften der Projektion \(p_U\)?";"Linear, surjektiv, \(\ker(p_U)=U\).<br>\(\Rightarrow\) jeder Unterraum ist Kern einer linearen Abbildung.<br><i>(Kap. 1)</i>"
"Satz <b>Universelle Eigenschaft</b> von \(V/U\)?";"Ist \(f\colon V\to W\) linear mit \(U\subseteq\ker f\), so gibt es <b>genau ein</b> lineares \(g\colon V/U\to W\) mit \(f=g\circ p_U\).<br><i>(Kap. 1)</i>"
"<b>Entscheidende Voraussetzung</b> der universellen Eigenschaft?";"\(U\subseteq\ker f\).<br>Ohne sie existiert \(g\) nicht (Vorschrift nicht wohldefiniert).<br><i>(Kap. 1)</i>"
"<b>Kernidee</b>: Warum ist \(g(v+U):=f(v)\) wohldefiniert (univ. Eigenschaft)?";"Ist \(v+U=v'+U\), also \(v-v'\in U\subseteq\ker f\), dann \(f(v)-f(v')=f(v-v')=0\).<br><i>(Kap. 1)</i>"
"Formel: \(\dim(V/U)=\)?";"\(\dim(V/U)=\dim V-\dim U\) (endlichdimensional).<br><i>(Kap. 1)</i>"
"Wie findet man eine <b>Basis von \(V/U\)</b>?";"Basis \(\{b_1,\dots,b_m\}\) von \(U\) zu Basis \(\{b_1,\dots,b_m,v_1,\dots,v_n\}\) von \(V\) ergänzen; dann ist \(\{v_1+U,\dots,v_n+U\}\) Basis von \(V/U\).<br><i>(Kap. 1)</i>"
"Was ist die <b>induzierte Abbildung</b> \(\bar f\) bei \(f\)-invariantem \(U\)?";"\(\bar f\colon V/U\to V/U,\ \bar f(v+U)=f(v)+U\).<br>Wohldefiniert, weil \(f(U)\subseteq U\).<br><i>(Kap. 1)</i>"
"<b>Fehler</b>: Häufiger Denkfehler zu \(V/U\)?";"\(V/U\) für einen Unterraum von \(V\) oder ein ""Komplement"" zu halten.<br>Richtig: \(V/U\) ist ein <b>eigener</b> Vektorraum aus Nebenklassen.<br><i>(Kap. 1)</i>"
"<b>Vergleich</b>: \(V/U\) vs. Komplement \(U'\) (mit \(V=U\oplus U'\))?";"\(V/U\): kanonisch, abstrakt, kein Teil von \(V\).<br>\(U'\): konkret, unkanonisch, Teil von \(V\).<br>Beide haben \(\dim=\dim V-\dim U\); \(p_U|_{U'}\) ist Isomorphismus.<br><i>(Kap. 1)</i>"
"<b>Fehler</b>: Wann ist \(\dim(V/U)=\dim V-\dim U\) ungültig?";"Im <b>unendlichdimensionalen</b> Fall (\(\infty-\infty\) sinnlos).<br>Voraussetzung: \(\dim V<\infty\).<br><i>(Kap. 1)</i>"
"<b>Transfer</b>: Du willst einen Satz per Induktion über \(\dim V\) beweisen und einen Eigenvektor ""herausteilen"". Welches Werkzeug?";"Quotientenraum \(V/U\) mit \(U=\mathrm{span}(\text{Eigenvektor})\) und die induzierte Abbildung \(\bar f\); \(\dim(V/U)=\dim V-1\).<br><i>(Kap. 1)</i>"
"<b>Verbindung</b>: Wofür wird \(V/U\) in Kapitel 5 gebraucht?";"\(\mathbb{C}=\mathbb{R}[X]/(X^2+1)\) ist ein Quotient; Rechnen ""mod \(X^2+1\)"".<br><i>(Kap. 1)</i>"
"Was ist ein <b>Eigenvektor</b> von \(f\) zum Eigenwert \(\lambda\)?";"\(v\neq0\) mit \(f(v)=\lambda v\).<br><i>(Kap. 2)</i>"
"Was ist der <b>Eigenraum</b> \(\mathrm{Eig}(f,\lambda)\)?";"\(\mathrm{Eig}(f,\lambda)=\ker(\lambda\,\mathrm{id}_V-f)\) (bei Matrizen \(\ker(\lambda E_n-A)\)).<br>Enthält \(0\); Eigenvektoren sind die Elemente \(\neq0\).<br><i>(Kap. 2)</i>"
"Wie ist das <b>charakteristische Polynom</b> definiert?";"\(\chi_A=\det(X\,E_n-A)\), analog \(\chi_f\).<br>Normiert, Grad \(n=\dim V\).<br><i>(Kap. 2)</i>"
"Was ist die <b>algebraische Vielfachheit</b> von \(\lambda\)?";"Exponent \(n_\lambda\) von \((X-\lambda)\) in \(\chi_f\).<br><i>(Kap. 2)</i>"
"Was ist die <b>geometrische Vielfachheit</b> von \(\lambda\)?";"\(\dim\mathrm{Eig}(f,\lambda)\).<br><i>(Kap. 2)</i>"
"Wann heißt \(f\) <b>diagonalisierbar</b>?";"Es gibt eine Basis von \(V\) aus Eigenvektoren (dann ist die darstellende Matrix diagonal).<br>Matrix: ähnlich zu einer Diagonalmatrix.<br><i>(Kap. 2)</i>"
"Wann heißt \(f\) <b>trigonalisierbar</b>?";"Es gibt eine Basis, bzgl. der die Matrix eine <b>obere Dreiecksmatrix</b> ist.<br><i>(Kap. 2)</i>"
"Wann heißen \(A,B\) <b>ähnlich</b>?";"\(B=TAT^{-1}\) für ein invertierbares \(T\).<br>Sie stellen dieselbe Abbildung in verschiedenen Basen dar.<br><i>(Kap. 2)</i>"
"<b>Motivation</b>: Warum will man diagonalisieren?";"Diagonalmatrizen machen \(A^m\), \(e^{tA}\), Inverse koordinatenweise trivial \(\Rightarrow\) DGL-Systeme, Rekursionen, Hauptachsen.<br><i>(Kap. 2)</i>"
"<b>Intuition</b>: Was ist ein Eigenvektor geometrisch?";"Eine Richtung, die \(f\) <b>nicht dreht</b>, sondern nur um \(\lambda\) streckt.<br><i>(Kap. 2)</i>"
"<b>Intuition</b>: Was bedeutet ""diagonalisierbar"" geometrisch?";"\(V\) zerlegt sich vollständig in unabhängige Streckrichtungen von \(f\) (Eigenbasis).<br><i>(Kap. 2)</i>"
"<b>Intuition</b>: Was bedeutet ""trigonalisierbar"" geometrisch?";"Es gibt eine <b>Fahne</b> geschachtelter invarianter Unterräume \(\{0\}\subsetneq U_1\subsetneq\dots\subsetneq V\); \(f\) ""mischt nur nach oben"".<br><i>(Kap. 2)</i>"
"Satz: Charakterisierung, wann \(\lambda\) Eigenwert ist?";"\(\lambda\) Eigenwert \(\Leftrightarrow\mathrm{Eig}(f,\lambda)\neq\{0\}\Leftrightarrow\chi_f(\lambda)=0\).<br><i>(Kap. 2)</i>"
"<b>Kernidee</b>: Warum ist \(\lambda\) Eigenwert \(\Leftrightarrow\chi_f(\lambda)=0\)?";"\(\lambda\) Eigenwert \(\Leftrightarrow\lambda\,\mathrm{id}-f\) singulär \(\Leftrightarrow\det(\lambda\,\mathrm{id}-f)=0\).<br><i>(Kap. 2)</i>"
"Satz <b>Diagonalisierbarkeitskriterium</b>?";"\(f\) diagonalisierbar \(\Leftrightarrow\) \(\chi_f\) zerfällt <b>und</b> \(\dim\mathrm{Eig}(f,\lambda_i)=n_i\) für alle \(i\) \(\Leftrightarrow V=\bigoplus_i\mathrm{Eig}(f,\lambda_i)\).<br><i>(Kap. 2)</i>"
"<b>Hinreichendes</b> (nicht notwendiges) Diagonalisierbarkeitskriterium?";"\(f\) hat \(n\) paarweise verschiedene Eigenwerte \(\Rightarrow\) diagonalisierbar.<br><i>(Kap. 2)</i>"
"Satz <b>Trigonalisierbarkeit</b>?";"\(f\) trigonalisierbar \(\Leftrightarrow\chi_f\) zerfällt über \(k\) in Linearfaktoren.<br>Korollar: über \(\mathbb{C}\) ist jede Matrix trigonalisierbar.<br><i>(Kap. 2)</i>"
"<b>Kernidee</b>: Beweis ""\(\chi_f\) zerfällt \(\Rightarrow\) trigonalisierbar""?";"Induktion über \(\dim V\): Eigenvektor \(b_1\), \(U=\mathrm{span}(b_1)\), \(\bar f\) auf \(V/U\) hat zerfallendes \(\chi_{\bar f}\); Induktion + Hochheben der Dreiecksbasis.<br><i>(Kap. 2)</i>"
"Lemma: Wie zerlegt sich \(\chi_f\) an einem \(f\)-invarianten Unterraum \(U\)?";"\(\chi_f=\chi_{f|_U}\cdot\chi_{\bar f}\) (mit \(\bar f\) auf \(V/U\)).<br><i>(Kap. 2)</i>"
"Lemma: Wie liegen die Vielfachheiten von \(\lambda\)?";"\(1\le\dim\mathrm{Eig}(f,\lambda)\le n_\lambda\) (geometrisch \(\le\) algebraisch).<br><i>(Kap. 2)</i>"
"<b>Kernidee</b>: Warum \(\dim\mathrm{Eig}(f,\lambda)\le n_\lambda\)?";"Basis des Eigenraums ergänzen \(\Rightarrow\) Blockmatrix \(\begin{psmallmatrix}\lambda E_m&*\\0&B\end{psmallmatrix}\) \(\Rightarrow(X-\lambda)^m\mid\chi_f\).<br><i>(Kap. 2)</i>"
"Lemma: Eigenvektoren zu verschiedenen Eigenwerten?";"Sind <b>linear unabhängig</b>; die Summe der Eigenräume ist direkt.<br><i>(Kap. 2)</i>"
"<b>Algorithmus</b>: Schritte zur Diagonalisierung von \(A\)?";"<ul><li>\(\chi_A\), Eigenwerte \(\lambda_i\) mit \(n_i\)</li><li>je Eigenraum \(\ker(\lambda_iE-A)\) Basis</li><li>prüfen: \(\sum\dim\mathrm{Eig}=n\)?</li><li>\(T\) aus Eigenvektoren, \(D=T^{-1}AT\)</li></ul><i>(Kap. 2)</i>"
"<b>Laufzeit</b> der Diagonalisierung?";"\(\approx O(n^3)\) (charakteristisches Polynom + Gauß pro Eigenraum) plus Nullstellensuche.<br><i>(Kap. 2)</i>"
"<b>Anwendung</b>: Wozu diagonalisiert man in der Praxis?";"\(A^m\), Matrixexponential \(e^{tA}\), lineare DGL/Rekursionen (Fibonacci), Hauptachsentransformation.<br><i>(Kap. 2)</i>"
"<b>Klausurfalle</b>: Reicht ""\(\chi_f\) zerfällt"" für Diagonalisierbarkeit?";"<b>Nein!</b> Scherung \(\begin{psmallmatrix}1&1\\0&1\end{psmallmatrix}\): \(\chi=(X-1)^2\) zerfällt, aber defekt.<br>Zusätzlich geom. = alg. Vielfachheit nötig.<br><i>(Kap. 2)</i>"
"<b>Gegenbeispiel</b>: \(\chi\) zerfällt, aber nicht diagonalisierbar?";"\(\begin{psmallmatrix}1&1\\0&1\end{psmallmatrix}\): geometrische Vielfachheit \(1<2\) = algebraische.<br><i>(Kap. 2)</i>"
"<b>Gegenbeispiel</b>: nicht trigonalisierbar über \(\mathbb{R}\)?";"Drehung \(\begin{psmallmatrix}0&-1\\1&0\end{psmallmatrix}\): \(\chi=X^2+1\) zerfällt nicht über \(\mathbb{R}\).<br>Über \(\mathbb{C}\) diagonalisierbar (\(\pm i\)).<br><i>(Kap. 2)</i>"
"<b>Vergleich</b>: diagonalisierbar vs. trigonalisierbar?";"<b>diagonalisierbar</b>: \(\chi\) zerfällt <b>und</b> geom = alg.<br><b>trigonalisierbar</b>: \(\chi\) zerfällt.<br>Über \(\mathbb{C}\): trig. immer, diag. nicht immer.<br><i>(Kap. 2)</i>"
"<b>Vergleich</b>: algebraische vs. geometrische Vielfachheit?";"algebraisch \(n_\lambda\): Exponent in \(\chi_f\).<br>geometrisch: \(\dim\mathrm{Eig}\).<br>Stets \(1\le\) geom \(\le\) alg; diagonalisierbar \(\Leftrightarrow\) überall gleich.<br><i>(Kap. 2)</i>"
"<b>Fehler</b>: Eigenraum als was berechnen?";"Als <b>Kern</b> von \(\lambda E-A\), <b>nicht</b> als Bild!<br><i>(Kap. 2)</i>"
